Day	Time	Open	High	Low	Close	Volume
29.04.2019	01:36	5.94287	5.94321	5.94287	5.94321	18700000048
29.04.2019	01:37	5.94322	5.94322	5.94322	5.94322	750000
29.04.2019	01:38	5.94323	5.94323	5.94323	5.94323	750000
29.04.2019	01:39	5.94287	5.94323	5.94287	5.94323	11200000048
29.04.2019	01:40	5.94287	5.94326	5.94287	5.94326	18700000048
29.04.2019	01:41	5.94234	5.94326	5.94234	5.94326	11200000048
29.04.2019	01:42	5.94218	5.94325	5.94218	5.94325	1500000
29.04.2019	01:43	5.94250	5.94325	5.94250	5.94314	18700000048
29.04.2019	01:44	5.94312	5.94312	5.94312	5.94312	750000
29.04.2019	01:45	5.94230	5.94313	5.94230	5.94247	18700000048
29.04.2019	01:46	5.94230	5.94246	5.94230	5.94246	11200000048
29.04.2019	01:47	5.94230	5.94246	5.94230	5.94246	11200000048
29.04.2019	01:48	5.94230	5.94247	5.94230	5.94247	11200000048
29.04.2019	01:49	5.94230	5.94247	5.94230	5.94247	11200000048
29.04.2019	01:50	5.94230	5.94247	5.94230	5.94247	11200000048
29.04.2019	01:51	5.94210	5.94246	5.94210	5.94246	11200000048
29.04.2019	01:52	5.94230	5.94246	5.94230	5.94246	11200000048
29.04.2019	01:53	5.94230	5.94247	5.94230	5.94247	11200000048
29.04.2019	01:54	5.94229	5.94247	5.94229	5.94247	11200000048
29.04.2019	01:55	5.94246	5.94246	5.94246	5.94246	750000
29.04.2019	01:56	5.94229	5.94247	5.94229	5.94247	11200000048
29.04.2019	01:57	5.94230	5.94246	5.94230	5.94246	11200000048
29.04.2019	01:58	5.94230	5.94247	5.94230	5.94247	11200000048
29.04.2019	01:59	5.94247	5.94247	5.94247	5.94247	0
29.04.2019	02:00	5.94263	5.94286	5.94229	5.94286	1421000061035
29.04.2019	02:01	5.94286	5.94287	5.94286	5.94287	11100000143
29.04.2019	02:02	5.94286	5.94286	5.94286	5.94286	7400000095
29.04.2019	02:03	5.94286	5.94286	5.94286	5.94286	7400000095
29.04.2019	02:04	5.94286	5.94286	5.94286	5.94286	7400000095
29.04.2019	02:05	5.94286	5.94286	5.94286	5.94286	0
29.04.2019	02:06	5.94286	5.94286	5.94286	5.94286	7400000095
29.04.2019	02:07	5.94286	5.94310	5.94286	5.94287	296000003815
29.04.2019	02:08	5.94287	5.94289	5.94286	5.94286	62899999619
29.04.2019	02:09	5.94287	5.94287	5.94287	5.94287	11100000143
29.04.2019	02:10	5.94326	5.94326	5.94286	5.94286	22300000191
29.04.2019	02:11	5.94286	5.94286	5.94286	5.94286	3700000048
29.04.2019	02:12	5.94286	5.94286	5.94286	5.94286	7400000095
29.04.2019	02:13	5.94286	5.94286	5.94286	5.94286	7400000095
29.04.2019	02:14	5.94287	5.94287	5.94287	5.94287	11100000143
29.04.2019	02:15	5.94286	5.94286	5.94286	5.94286	11100000143
29.04.2019	02:16	5.94286	5.94287	5.94286	5.94287	11100000143
29.04.2019	02:17	5.94287	5.94287	5.94287	5.94287	7400000095
29.04.2019	02:18	5.94287	5.94287	5.94287	5.94287	7400000095
29.04.2019	02:19	5.94286	5.94286	5.94286	5.94286	11100000143
29.04.2019	02:20	5.94286	5.94286	5.94286	5.94286	3700000048
29.04.2019	02:21	5.94287	5.94287	5.94287	5.94287	3700000048
29.04.2019	02:22	5.94286	5.94286	5.94286	5.94286	11100000143
29.04.2019	02:23	5.94286	5.94290	5.94286	5.94286	48099999428
29.04.2019	02:24	5.94286	5.94300	5.94286	5.94286	218299999237
29.04.2019	02:25	5.94287	5.94300	5.94287	5.94287	48099999428
29.04.2019	02:26	5.94286	5.94286	5.94286	5.94286	11100000143
29.04.2019	02:27	5.94286	5.94286	5.94286	5.94286	7400000095
29.04.2019	02:28	5.94286	5.94287	5.94286	5.94287	11100000143
29.04.2019	02:29	5.94287	5.94290	5.94287	5.94287	358899993896
29.04.2019	02:30	5.94287	5.94287	5.94287	5.94287	70300002098
29.04.2019	02:31	5.94287	5.94300	5.94286	5.94286	70300002098
29.04.2019	02:32	5.94286	5.94300	5.94286	5.94286	199799995422
29.04.2019	02:33	5.94286	5.94300	5.94286	5.94287	177600002289
29.04.2019	02:34	5.94287	5.94300	5.94286	5.94290	244200000763
29.04.2019	02:35	5.94290	5.94300	5.94286	5.94287	344099998474
29.04.2019	02:36	5.94286	5.94286	5.94286	5.94286	11100000143
29.04.2019	02:37	5.94287	5.94287	5.94287	5.94287	11100000143
29.04.2019	02:38	5.94287	5.94287	5.94287	5.94287	7400000095
29.04.2019	02:39	5.94287	5.94287	5.94287	5.94287	7400000095
29.04.2019	02:40	5.94287	5.94287	5.94286	5.94286	7400000095
29.04.2019	02:41	5.94286	5.94287	5.94286	5.94287	11100000143
29.04.2019	02:42	5.94287	5.94287	5.94287	5.94287	11100000143
29.04.2019	02:43	5.94286	5.94286	5.94286	5.94286	11100000143
29.04.2019	02:44	5.94295	5.94314	5.94286	5.94314	26199998856
29.04.2019	02:45	5.94299	5.94313	5.94299	5.94313	11200000048
29.04.2019	02:46	5.94303	5.94314	5.94303	5.94314	11200000048
29.04.2019	02:47	5.94313	5.94313	5.94313	5.94313	750000
29.04.2019	02:48	5.94299	5.94313	5.94299	5.94313	11200000048
29.04.2019	02:49	5.94287	5.94313	5.94287	5.94313	11200000048
29.04.2019	02:50	5.94313	5.94313	5.94312	5.94312	1500000
29.04.2019	02:51	5.94313	5.94313	5.94311	5.94311	2250000
29.04.2019	02:52	5.94314	5.94314	5.94311	5.94311	2250000
29.04.2019	02:53	5.94290	5.94312	5.94290	5.94312	11200000048
29.04.2019	02:54	5.94314	5.94314	5.94312	5.94312	2250000
29.04.2019	02:55	5.94314	5.94314	5.94311	5.94311	2250000
29.04.2019	02:56	5.94289	5.94311	5.94289	5.94311	11200000048
29.04.2019	02:57	5.94289	5.94312	5.94289	5.94312	11200000048
29.04.2019	02:58	5.94313	5.94313	5.94313	5.94313	750000
29.04.2019	02:59	5.94302	5.94314	5.94302	5.94314	11200000048
29.04.2019	03:00	5.94312	5.94313	5.94312	5.94312	29800000191
29.04.2019	03:01	5.94313	5.94313	5.94313	5.94313	750000
29.04.2019	03:02	5.94312	5.94313	5.94312	5.94313	1500000
29.04.2019	03:03	5.94301	5.94314	5.94287	5.94314	14900000095
29.04.2019	03:04	5.94299	5.94314	5.94299	5.94314	11200000048
29.04.2019	03:05	5.94299	5.94313	5.94299	5.94313	11200000048
29.04.2019	03:06	5.94314	5.94314	5.94314	5.94314	750000
29.04.2019	03:07	5.94299	5.94313	5.94299	5.94313	11200000048
29.04.2019	03:08	5.94300	5.94313	5.94300	5.94313	11200000048
29.04.2019	03:09	5.94299	5.94313	5.94299	5.94313	11200000048
29.04.2019	03:10	5.94299	5.94360	5.94299	5.94360	33699998856
29.04.2019	03:11	5.94310	5.94360	5.94310	5.94360	11200000048
29.04.2019	03:12	5.94310	5.94359	5.94310	5.94359	11200000048
29.04.2019	03:13	5.94286	5.94359	5.94286	5.94359	11200000048
29.04.2019	03:14	5.94310	5.94360	5.94310	5.94360	11200000048
29.04.2019	03:15	5.94309	5.94360	5.94309	5.94360	11200000048
